a0,a1,a2,a3,a4,p1,p2,p3,p4,v_final,maxSlip
35,97.4999999999999,-217.5,202.5,-67.4999999999998,35,50,50,50,5.11773291922575,0.487689115439442
21.5,185.25,-413.249999999999,384.749999999999,-128.25,21.5,50,50,50,4.97090174485785,0.308659030495586
8,273,-608.999999999999,566.999999999999,-189,8,50,50,50,4.82434442057209,0.128611944745822
35,-227.499999999999,1520,-2497.49999999999,1170,35,50,50,0,4.03062667748271,0.465121577236048
21.5,-139.749999999999,1324.25,-2315.24999999999,1109.25,21.5,50,50,0,3.88420699605957,0.285671042151855
21.5,860.249999999999,-3788.24999999999,5109.74999999999,-2153.25,21.5,50,0,50,3.85040679468883,0.359629385293073
8,-51.9999999999994,1128.5,-2133,1048.5,8,50,50,0,3.7380930203261,0.104641849553571
8,947.999999999999,-3983.99999999999,5291.99999999999,-2214,8,50,0,50,3.70113070565905,0.193083925206945
35,-577.5,2145,-2497.5,944.999999999998,35,0,50,50,3.07286961983739,0.444616815830131
21.5,-489.75,1949.25,-2315.25,884.249999999998,21.5,0,50,50,3.00433537320557,0.265081066957747
8,-402,1753.5,-2133,823.499999999998,8,0,50,50,2.9651167548443,0.0846733092736788
21.5,535.25,-2050.75,2409.75,-915.749999999999,21.5,50,0,0,2.82660451322625,0.333594517812398
8,623,-2246.5,2592,-976.499999999998,8,50,0,0,2.68182861404019,0.159942375031271
35,-902.499999999999,3882.49999999999,-5197.49999999999,2182.5,35,0,50,0,2.3245009899352,0.425905651872078
21.5,-814.749999999999,3686.74999999999,-5015.24999999999,2121.75,21.5,0,50,0,2.28465052584733,0.246289688143869
8,-726.999999999999,3490.99999999999,-4832.99999999999,2061,8,0,50,0,2.26495412000953,0.0707133622365343
35,97.4999999999994,-1230,2227.49999999999,-1080,35,0,0,50,1.99621159107667,0.487266270889576
21.5,185.249999999999,-1425.75,2409.74999999999,-1140.75,21.5,0,0,50,1.83885880538986,0.308235322399275
8,272.999999999999,-1621.5,2591.99999999999,-1201.5,8,0,0,50,1.68193658049503,0.128026481982749
35,-227.5,507.5,-472.5,157.5,35,0,0,0,0.647867248212309,0.464830256624371
21.5,-139.75,311.75,-290.25,96.7499999999998,21.5,0,0,0,0.491169748872553,0.285379049168423
8,-52,116,-108,35.9999999999999,8,0,0,0,0.334767100271591,0.10425691199772
